Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,.338,100,.315,.160,2.2%,19.2%,5.2%,87.7,35.9%,27.4%,42.6%,21.6%,0.75,30.7%,50.7%,18.6%,1.6,1.0%,6.2,37%,94%,62%
Atlanta Braves,.345,104,.330,.152,3.0%,23.8%,11.1%,90.1,42.0%,21.8%,52.1%,21.4%,1.09,31.1%,52.5%,16.4%,1.3,0.8%,2.8,28%,89%,60%
Baltimore Orioles,.339,110,.288,.196,4.0%,26.1%,10.8%,89.7,42.7%,25.5%,36.6%,30.2%,0.58,29.8%,47.2%,23.0%,0.9,0.5%,7.0,32%,94%,52%
Boston Red Sox,.345,109,.267,.195,3.9%,18.6%,9.3%,88.5,37.5%,22.6%,43.1%,24.1%,0.76,33.6%,50.0%,16.4%,0.5,0.2%,15.7,40%,100%,51%
Chicago Cubs,.328,96,.332,.114,2.1%,21.7%,8.2%,88.1,39.1%,28.0%,48.3%,19.1%,0.94,28.4%,51.3%,20.3%,0.1,0.0%,5.0,36%,82%,46%
Chicago White Sox,.347,118,.338,.152,2.5%,20.4%,6.2%,88.5,38.3%,23.9%,50.6%,20.1%,1.03,33.4%,46.2%,20.4%,0.2,0.1%,8.6,34%,100%,44%
Cincinnati Reds,.326,90,.309,.180,3.3%,24.3%,9.9%,85.5,30.8%,25.3%,39.2%,23.5%,0.68,32.3%,51.2%,16.6%,0.3,0.2%,-2.8,29%,33%,46%
Cleveland Guardians,.309,89,.292,.111,1.1%,19.8%,12.3%,86.6,34.4%,21.8%,44.6%,22.8%,0.83,26.1%,54.1%,19.9%,1.2,0.7%,2.8,33%,90%,31%
Colorado Rockies,.330,87,.332,.148,2.4%,22.9%,6.1%,85.8,30.8%,19.9%,43.2%,31.0%,0.77,32.1%,47.7%,20.2%,0.1,0.1%,-1.2,31%,67%,26%
Detroit Tigers,.259,58,.271,.088,1.5%,27.0%,6.9%,87.7,36.1%,21.5%,52.1%,20.5%,1.09,33.3%,48.9%,17.8%,-1.5,-0.8%,-12.5,27%,67%,48%
Houston Astros,.328,105,.315,.118,2.3%,23.5%,9.7%,88.6,40.0%,25.5%,40.4%,27.0%,0.69,27.3%,50.4%,22.3%,-0.5,-0.3%,6.1,33%,78%,49%
Kansas City Royals,.261,56,.218,.133,2.9%,26.8%,7.4%,90.8,48.0%,24.5%,40.0%,28.2%,0.67,37.1%,51.0%,11.8%,-2.6,-1.4%,-18.8,22%,100%,61%
Los Angeles Angels,.339,111,.275,.177,4.0%,22.0%,11.1%,89.9,46.0%,20.3%,44.8%,28.7%,0.82,25.7%,57.5%,16.9%,0.9,0.6%,17.6,38%,100%,40%
Los Angeles Dodgers,.373,125,.283,.261,4.9%,23.7%,14.1%,91.9,51.7%,25.3%,41.0%,29.1%,0.70,29.5%,53.3%,17.2%,0.9,0.5%,21.0,36%,40%,56%
