Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Arizona Diamondbacks,.227,.334,.452,.786,.256,4.3%,23.3%,13.5%,91.2,45.4%,22.3%,40.4%,30.4%,0.68,-0.1,-0.1%,-5.8
Atlanta Braves,.255,.333,.382,.715,.311,2.2%,21.5%,10.0%,89.4,40.9%,21.8%,41.9%,28.2%,0.73,0.2,0.1%,5.5
Baltimore Orioles,.256,.317,.446,.764,.304,3.5%,23.0%,7.0%,89.8,39.9%,27.2%,37.8%,28.7%,0.62,-0.9,-0.6%,-7.1
Boston Red Sox,.252,.332,.441,.772,.296,3.8%,22.8%,9.7%,89.8,46.5%,20.8%,45.2%,26.3%,0.84,-0.5,-0.3%,-4.5
Chicago Cubs,.227,.308,.347,.655,.297,1.5%,25.4%,9.7%,85.5,33.8%,25.7%,45.0%,20.6%,0.84,0.4,0.2%,4.4
Chicago White Sox,.266,.367,.457,.824,.322,4.0%,23.8%,11.6%,89.2,44.6%,24.4%,35.8%,30.1%,0.57,-0.7,-0.4%,-24.1
Cincinnati Reds,.260,.336,.393,.729,.343,2.0%,25.9%,10.3%,88.2,35.5%,23.9%,44.1%,19.4%,0.82,-0.8,-0.5%,-1.1
Cleveland Guardians,.222,.288,.366,.654,.272,2.1%,22.9%,7.9%,88.8,39.9%,21.5%,39.2%,28.3%,0.66,0.3,0.1%,3.9
Colorado Rockies,.267,.337,.448,.786,.305,2.9%,19.0%,9.5%,87.5,40.1%,21.7%,45.2%,24.5%,0.85,-0.6,-0.4%,-10.1
Detroit Tigers,.269,.355,.492,.847,.278,4.5%,15.5%,10.4%,89.3,39.1%,21.4%,43.6%,26.8%,0.77,-1.0,-0.6%,-24.3
Houston Astros,.259,.326,.400,.726,.328,2.6%,24.4%,7.7%,87.8,37.8%,25.6%,46.7%,21.4%,0.88,0.0,0.0%,2.3
Kansas City Royals,.271,.329,.419,.748,.330,2.9%,22.6%,7.6%,89.6,43.3%,29.6%,39.9%,23.4%,0.68,0.1,0.0%,-1.7
Los Angeles Angels,.254,.325,.393,.718,.312,2.6%,22.4%,7.6%,86.2,34.2%,24.1%,39.5%,28.4%,0.66,-0.9,-0.6%,-5.0
Los Angeles Dodgers,.253,.296,.399,.696,.314,1.8%,22.8%,4.3%,88.0,36.3%,25.6%,42.3%,24.2%,0.74,-0.4,-0.3%,3.7
Miami Marlins,.246,.334,.430,.764,.274,3.5%,19.3%,10.6%,87.6,34.6%,24.7%,42.5%,28.1%,0.74,0.2,0.0%,-14.4
Milwaukee Brewers,.214,.301,.317,.618,.252,2.2%,20.2%,9.8%,86.3,33.2%,22.4%,46.8%,26.0%,0.89,1.2,0.8%,16.8
Minnesota Twins,.203,.261,.328,.589,.271,2.6%,30.1%,6.9%,89.4,44.4%,22.6%,44.7%,27.6%,0.82,2.1,1.3%,15.1
New York Mets,.242,.328,.423,.751,.283,4.2%,23.6%,11.4%,89.2,39.1%,23.4%,44.4%,24.9%,0.81,0.7,0.4%,-0.3
New York Yankees,.214,.294,.319,.613,.290,1.6%,28.6%,9.3%,87.9,37.8%,26.9%,44.4%,19.3%,0.82,0.8,0.4%,14.1
