Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,29,27.5,4.82,11,401,368,53,99,26,3,9,50,17,1,21,77,.269,.318,.429,.747,100,158,11,7,1,4,0,63
Atlanta Braves,30,28.3,4.64,11,432,381,51,101,19,0,13,46,8,1,48,103,.265,.347,.417,.765,102,159,15,1,0,2,0,86
Baltimore Orioles,28,27.1,5.00,10,379,331,50,78,20,0,15,48,16,1,41,99,.236,.325,.432,.757,113,143,6,4,1,2,0,65
Boston Red Sox,27,29.4,5.90,10,388,343,59,84,18,2,15,57,3,0,36,72,.245,.326,.440,.766,107,151,6,6,1,2,1,63
Chicago Cubs,27,29.2,5.00,9,341,308,45,83,14,0,7,42,9,2,28,74,.269,.332,.383,.715,93,118,8,2,0,2,0,62
Chicago White Sox,28,28.2,5.09,11,436,401,56,113,28,0,11,55,13,0,27,89,.282,.334,.434,.768,118,174,5,5,1,1,0,86
Cincinnati Reds,27,27.5,4.33,9,333,295,39,74,14,3,11,38,2,4,33,81,.251,.329,.431,.760,95,127,6,2,2,1,1,58
Cleveland Guardians,26,27.0,4.82,11,455,389,53,93,22,3,5,47,19,2,56,90,.239,.333,.350,.682,95,136,4,2,1,7,9,98
Colorado Rockies,26,29.4,4.36,11,410,378,48,102,26,0,10,45,2,1,25,94,.270,.320,.418,.738,87,158,9,4,0,3,1,74
Detroit Tigers,27,27.4,3.00,9,334,308,27,63,10,1,5,26,4,2,23,90,.205,.261,.292,.553,57,90,6,1,0,1,0,60
Houston Astros,26,28.5,5.00,11,435,380,55,95,15,0,10,53,7,2,42,102,.250,.336,.368,.704,99,140,7,8,2,2,2,86
Kansas City Royals,27,27.5,2.64,11,380,347,29,62,11,1,11,27,4,0,28,102,.179,.248,.311,.559,56,108,8,4,0,0,0,57
Los Angeles Angels,26,29.2,6.00,10,396,344,60,83,13,0,16,60,3,0,44,87,.241,.332,.419,.750,109,144,9,4,1,3,1,67
Los Angeles Dodgers,26,31.1,6.27,11,426,356,69,89,20,5,21,68,2,3,60,101,.250,.359,.511,.870,126,182,8,4,0,6,0,72
Miami Marlins,30,29.9,2.73,11,386,352,30,82,10,1,12,29,7,2,32,102,.233,.298,.369,.667,79,130,13,1,0,1,0,68
Milwaukee Brewers,27,27.3,4.80,10,371,322,48,84,11,1,12,48,5,3,44,96,.261,.348,.413,.761,106,133,8,1,0,4,0,68
Minnesota Twins,27,28.9,4.00,10,376,338,40,77,9,2,8,36,1,2,32,87,.228,.303,.337,.640,80,114,7,5,0,1,1,69
New York Mets,28,31.1,4.00,11,415,354,44,77,20,0,10,43,10,1,46,79,.218,.320,.359,.679,83,127,5,10,0,5,0,83
New York Yankees,29,29.7,4.60,10,364,323,46,78,14,3,16,44,12,4,38,89,.241,.321,.452,.773,116,146,6,1,0,2,0,60
Oakland Athletics,27,28.8,2.80,10,358,323,28,64,15,1,8,27,7,0,30,91,.198,.270,.325,.595,71,105,11,2,0,1,1,60
Philadelphia Phillies,28,28.5,4.50,10,375,347,45,99,24,5,10,43,8,0,24,98,.285,.332,.470,.801,116,163,6,1,1,2,2,68
Pittsburgh Pirates,28,28.5,4.40,10,374,328,44,76,17,2,12,42,11,1,38,83,.232,.311,.405,.716,94,133,5,2,1,5,0,66
San Diego Padres,26,29.4,4.55,11,411,354,50,81,22,0,15,46,6,1,47,92,.229,.319,.418,.737,103,148,8,2,2,4,1,73
Seattle Mariners,29,28.3,4.09,11,424,384,45,88,27,0,9,43,11,3,30,100,.229,.296,.370,.665,90,142,5,7,1,2,1,78
San Francisco Giants,30,29.6,4.80,10,393,346,48,86,12,1,18,48,6,1,38,115,.249,.336,.445,.781,111,154,5,8,0,1,0,78
St. Louis Cardinals,28,27.6,4.00,10,386,345,40,98,13,1,10,39,3,1,35,72,.284,.353,.414,.768,111,143,11,3,0,2,1,82
Tampa Bay Rays,27,26.9,7.60,10,382,330,76,92,19,0,25,75,7,3,40,65,.279,.366,.564,.930,166,186,4,8,0,4,0,57
Texas Rangers,27,29.0,5.80,10,370,333,58,83,18,1,12,55,3,1,31,83,.249,.316,.417,.734,107,139,4,3,0,3,0,57
Toronto Blue Jays,27,28.9,5.40,10,409,368,54,106,17,1,10,50,6,3,33,85,.288,.352,.421,.773,121,155,4,5,0,3,1,83
Washington Nationals,27,27.0,4.18,11,423,376,46,103,16,2,5,44,4,4,37,75,.274,.340,.367,.707,96,138,12,3,3,4,0,83
League Average,28,28.6,4.63,10,392,348,48,86,17,1,12,46,7,2,36,89,.248,.323,.406,.730,100,141,7,4,1,3,1,71
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
,825,28.6,4.63,310,11763,10452,1436,2593,520,39,351,1374,216,49,1087,2673,.248,.323,.406,.730,100,4244,222,116,18,80,23,2130
