Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,15,29.3,4.82,7,4,.636,4.78,11,11,11,0,1,0,4,96.0,80,53,51,18,56,0,97,3,1,4,416,101,5.66,1.417,7.5,1.7,5.3,9.1,1.73,75
Atlanta Braves,16,30.0,3.91,7,4,.636,3.73,11,11,11,0,0,0,2,99.0,94,43,41,9,42,1,90,3,0,7,419,131,4.12,1.374,8.5,0.8,3.8,8.2,2.14,80
Baltimore Orioles,14,28.8,5.00,5,5,.500,4.83,10,10,10,0,1,0,3,87.2,86,50,47,13,26,0,85,5,2,8,370,93,4.45,1.278,8.8,1.3,2.7,8.7,3.27,57
Boston Red Sox,13,31.5,4.80,5,5,.500,4.55,10,10,10,0,0,0,2,89.0,87,48,45,15,38,0,89,4,0,3,391,107,5.00,1.404,8.8,1.5,3.8,9.0,2.34,76
Chicago Cubs,13,30.2,4.11,5,4,.556,3.89,9,9,9,0,2,0,1,81.0,68,37,35,5,33,0,87,4,0,4,342,124,3.42,1.247,7.6,0.6,3.7,9.7,2.64,63
Chicago White Sox,15,29.8,6.36,5,6,.455,6.25,11,11,11,0,0,0,2,95.0,102,70,66,18,52,0,107,11,2,4,449,70,5.60,1.621,9.7,1.7,4.9,10.1,2.06,94
Cincinnati Reds,14,27.9,4.78,4,5,.444,4.54,9,9,9,0,0,0,3,79.1,80,43,40,7,36,1,91,1,0,6,351,118,3.65,1.462,9.1,0.8,4.1,10.3,2.53,71
Cleveland Guardians,13,26.8,4.27,7,4,.636,3.73,11,11,11,0,1,0,5,103.2,86,47,43,9,34,1,98,3,0,11,428,119,3.70,1.158,7.5,0.8,3.0,8.5,2.88,76
Colorado Rockies,13,29.4,5.36,5,6,.455,5.31,11,11,11,0,1,0,3,95.0,96,59,56,12,39,0,78,2,3,5,411,103,4.69,1.421,9.1,1.1,3.7,7.4,2.00,67
Detroit Tigers,14,28.6,6.89,2,7,.222,6.84,9,9,9,0,0,0,1,79.0,83,62,60,16,37,1,55,6,0,3,356,67,6.27,1.519,9.5,1.8,4.2,6.3,1.49,59
Houston Astros,13,28.5,4.18,5,6,.455,3.77,11,11,11,0,0,0,2,100.1,101,46,42,11,33,1,105,6,0,6,430,118,3.89,1.336,9.1,1.0,3.0,9.4,3.18,86
Kansas City Royals,14,30.3,4.45,3,8,.273,4.36,11,11,11,0,0,0,2,97.0,104,49,47,12,32,0,95,2,0,2,420,107,4.10,1.402,9.6,1.1,3.0,8.8,2.97,80
Los Angeles Angels,14,28.4,4.70,5,5,.500,4.25,10,10,10,0,1,0,2,89.0,88,47,42,10,29,2,86,7,1,5,384,108,4.14,1.315,8.9,1.0,2.9,8.7,2.97,71
Los Angeles Dodgers,13,27.9,4.09,6,5,.545,4.22,11,11,11,0,0,0,3,96.0,93,45,45,7,17,0,90,7,0,2,395,116,3.22,1.146,8.7,0.7,1.6,8.4,5.29,62
Miami Marlins,17,27.9,5.55,4,7,.364,5.53,11,11,10,1,1,1,1,96.0,91,61,59,15,45,0,82,6,0,2,425,88,5.31,1.417,8.5,1.4,4.2,7.7,1.82,76
Milwaukee Brewers,13,29.4,2.60,7,3,.700,2.66,10,10,10,0,3,0,2,88.0,69,26,26,8,36,0,74,5,0,1,366,175,4.29,1.193,7.1,0.8,3.7,7.6,2.06,76
